"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","LAMB & MUTTON, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","LAMB & MUTTON, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","155,400,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","155,600,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","160,700,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","161,100,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","160,800,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","153,300,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","168,300,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","175,400,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","180,100,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","188,900,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","189,800,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","191,500,000",""
