"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","PORK, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","PORK, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","24,956,700,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","24,516,800,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","22,858,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,202,600,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,268,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","22,775,300,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","22,455,500,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,020,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,366,700,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","21,962,200,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","21,073,300,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","20,705,400,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","20,531,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","19,967,000,000",""
